"SYMBOL","NAME OF COMPANY","SERIES","DATE OF LISTING","PAID UP VALUE","MARKET LOT","ISIN NUMBER","FACE VALUE","marketcap","price"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","EQ","17-MAR-2006","2","1","INE774D01024","2","20,025","324.15"
"MAANALU","Maan Aluminium Limited","EQ","22-OCT-2007","10","1","INE215I01019","10","31.50","46.60"
"MADHAV","Madhav Marbles and Granites Limited","EQ","20-DEC-2007","10","1","INE925C01016","10","24.12","26.95"
"MADHUCON","Madhucon Projects Limited","EQ","05-OCT-2006","1","1","INE378D01032","1","18.08","2.45"
"MADRASFERT","Madras Fertilizers Limited","EQ","25-JUL-1997","10","1","INE414A01015","10","191.71","11.90"
"MAGADSUGAR","Magadh Sugar & Energy Limited","EQ","28-JUL-2017","10","1","INE347W01011","10","151.13","107.25"
"MAGMA","Magma Fincorp Limited","EQ","27-APR-2004","2","1","INE511C01022","2","923.09","34.25"
"MAGNUM","Magnum Ventures Limited","EQ","20-SEP-2007","10","1","INE387I01016","10","11.84","3.15"
"MAHABANK","Bank of Maharashtra","EQ","12-APR-2004","10","1","INE457A01014","10","5,941","10.20"
"MAHAPEXLTD","Maha Rashtra Apex Corporation Limited","BE","21-JAN-1998","10","1","INE843B01013","10","114.97","81.25"
"MAHASTEEL","Mahamaya Steel Industries Limited","BE","01-JUL-2016","10","1","INE451L01014","10","106.66","78.60"
"MAHEPC","Mahindra EPC Irrigation Limited","EQ","14-FEB-2020","10","1","INE215D01010","10","274.48","98.80"
"MAHESHWARI","Maheshwari Logistics Limited","EQ","15-APR-2019","10","1","INE263W01010","10","331.71","224.15"
"MAHINDCIE","Mahindra CIE Automotive Limited","EQ","30-AUG-2007","10","1","INE536H01010","10","4,675","123.35"
"MAHLIFE","Mahindra Lifespace Developers Limited","EQ","10-MAY-2000","10","1","INE813A01018","10","1,652","321.65"
"MAHLOG","Mahindra Logistics Limited","EQ","10-NOV-2017","10","1","INE766P01016","10","2,248","314.25"
"MAHSCOOTER","Maharashtra Scooters Limited","EQ","08-FEB-1995","10","1","INE288A01013","10","4,316","3,776"
"MAHSEAMLES","Maharashtra Seamless Limited","EQ","25-AUG-2004","5","1","INE271B01025","5","1,863","278.10"
"MAITHANALL","Maithan Alloys Limited","EQ","05-JUL-2011","10","1","INE683C01011","10","1,219","418.80"
"MAJESCO","Majesco Limited","EQ","19-AUG-2015","5","1","INE898S01029","5","1,013","353.65"
"MALUPAPER","Malu Paper Mills Limited","EQ","05-APR-2006","10","1","INE383H01017","10","41.37","24.25"
"MANAKALUCO","Manaksia Aluminium Company Limited","EQ","30-MAR-2015","1","1","INE859Q01017","1","21.95","3.35"
"MANAKCOAT","Manaksia Coated Metals & Industries Limited","EQ","30-MAR-2015","1","1","INE830Q01018","1","20.32","3.10"
"MANAKSIA","Manaksia Limited","BE","08-JAN-2008","2","1","INE015D01022","2","229.43","35.00"
"MANAKSTEEL","Manaksia Steels Limited","EQ","30-MAR-2015","1","1","INE824Q01011","1","52.75","8.05"
"MANALIPETC","Manali Petrochemicals Limited","EQ","06-DEC-2006","5","1","INE201A01024","5","245.96","14.30"
"MANAPPURAM","Manappuram Finance Limited","EQ","01-DEC-2014","2","1","INE522D01027","2","12,248","144.95"
"MANGALAM","Mangalam Drugs And Organics Limited","EQ","23-MAY-2005","10","1","INE584F01014","10","41.71","26.35"
"MANGCHEFER","Mangalore Chemicals & Fertilizers Limited","EQ","22-OCT-2007","10","1","INE558B01017","10","324.74","27.40"
